ResponseId	Q120	MainBranch	Age	Employment	RemoteWork	CodingActivities	EdLevel	LearnCode	LearnCodeOnline	LearnCodeCoursesCert	YearsCode	YearsCodePro	DevType	OrgSize	PurchaseInfluence	TechList	BuyNewTool	Country	Currency	CompTotal	LanguageHaveWorkedWith	LanguageWantToWorkWith	DatabaseHaveWorkedWith	DatabaseWantToWorkWith	PlatformHaveWorkedWith	PlatformWantToWorkWith	WebframeHaveWorkedWith	WebframeWantToWorkWith	MiscTechHaveWorkedWith	MiscTechWantToWorkWith	ToolsTechHaveWorkedWith	ToolsTechWantToWorkWith	NEWCollabToolsHaveWorkedWith	NEWCollabToolsWantToWorkWith	OpSysPersonal use	OpSysProfessional use	OfficeStackAsyncHaveWorkedWith	OfficeStackAsyncWantToWorkWith	OfficeStackSyncHaveWorkedWith	OfficeStackSyncWantToWorkWith	AISearchHaveWorkedWith	AISearchWantToWorkWith	AIDevHaveWorkedWith	AIDevWantToWorkWith	NEWSOSites	SOVisitFreq	SOAccount	SOPartFreq	SOComm	SOAI	AISelect	AISent	AIAcc	AIBen	AIToolInterested in Using	AIToolCurrently Using	AIToolNot interested in Using	AINextVery different	AINextNeither different nor similar	AINextSomewhat similar	AINextVery similar	AINextSomewhat different	TBranch	ICorPM	WorkExp	Knowledge_1	Knowledge_2	Knowledge_3	Knowledge_4	Knowledge_5	Knowledge_6	Knowledge_7	Knowledge_8	Frequency_1	Frequency_2	Frequency_3	TimeSearching	TimeAnswering	ProfessionalTech	Industry	SurveyLength	SurveyEase	ConvertedCompYearly
13977	I agree	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses	Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)	Books / Physical media			12	9	Developer, full-stack	10 to 19 employees	I have a great deal of influence	Investigate	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd	Bangladesh	"BDT	Bangladeshi taka"	1950000.0	Bash/Shell (all shells);Clojure;Dart;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript	HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript	Elasticsearch;MongoDB;PostgreSQL;Redis	Elasticsearch;MongoDB;PostgreSQL;Redis	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Vercel	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Vercel	Django;Nuxt.js;Vue.js	Django;Nuxt.js;Vue.js	Electron;Flutter;React Native		Cargo;Docker;Pip;Yarn	Cargo;Docker;Pip;Yarn	IPython;Visual Studio Code	Visual Studio Code	Arch;MacOS	Arch;Ubuntu	Clickup	Clickup	Discord	Discord			GitHub Copilot	GitHub Copilot	Stack Overflow;Collectives on Stack Overflow	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat		Yes	Favorable	Greater efficiency	Neither trust nor distrust	Learning about a codebase;Documenting code;Debugging and getting help;Testing code	Writing code	Project planning;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates 			Writing code			Yes	People manager	9.0	Agree	Strongly disagree	Neither agree nor disagree	Strongly agree	Strongly agree	Disagree	Strongly disagree	Agree	Never	1-2 times a week	Never	15-30 minutes a day	15-30 minutes a day	DevOps function;Continuous integration (CI) and (more often) continuous delivery	Information Services, IT, Software Development, or other Technology	Appropriate in length	Easy	18129.0
14374	I agree	I am not primarily a developer, but I write code sometimes as part of my work/studies	25-34 years old	Employed, full-time	In-person	Hobby;Professional development or self-paced learning from online courses;School or academic work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)	Blogs with tips and tricks;Books;How-to videos;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow;Interactive tutorial	Codecademy;edX;Udemy;Coursera	7	2	Developer, QA or test	20 to 99 employees	I have a great deal of influence	Investigate	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool	Bangladesh	"BDT	Bangladeshi taka"	500000.0	C;C#;C++;HTML/CSS;JavaScript;PHP;Python;SQL	Ada;Apex;Python;SQL	Dynamodb;MySQL	Dynamodb;MySQL	Amazon Web Services (AWS);Google Cloud	Amazon Web Services (AWS);Google Cloud	FastAPI;Flask	Django;FastAPI;Flask	Opencv;OpenGL;Pandas	Opencv;OpenGL;Pandas	Docker;Puppet	Docker;Puppet	PyCharm	PyCharm	Windows;Windows Subsystem for Linux (WSL)	Windows;Windows Subsystem for Linux (WSL)	Jira;Trello	Jira;Trello	Google Chat;Slack	Google Chat;Slack	ChatGPT	ChatGPT			Stack Overflow	Daily or almost daily	Yes	A few times per month or weekly	Yes, somewhat	good	No, but I plan to soon	Very favorable		Highly trust									Yes	Individual contributor	2.0	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree				30-60 minutes a day	30-60 minutes a day	DevOps function;Microservices;Automated testing	Information Services, IT, Software Development, or other Technology	Appropriate in length	Neither easy nor difficult	4648.0
14731	I agree	I am learning to code	18-24 years old	Employed, full-time;Independent contractor, freelancer, or self-employed	Remote	Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work	Some college/university study without earning a degree	Other online resources (e.g., videos, blogs, forum);Coding Bootcamp	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Stack Overflow		3		Developer, front-end			Given a list	Start a free trial;Visit developer communities like Stack Overflow	Bangladesh			JavaScript;Rust;TypeScript	Rust;TypeScript	MongoDB;PostgreSQL	MongoDB;Neo4J	Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Linode, now Akamai;Netlify;Render;Vercel	Digital Ocean;Firebase;Netlify;Render;Vercel	Express;Next.js;React;Svelte	Deno;Express;Svelte	React Native		Cargo;npm;Vite	Bun;Cargo;Docker;Vite	Android Studio;Visual Studio Code	Fleet;Visual Studio Code	Windows	Ubuntu;Windows Subsystem for Linux (WSL)	Airtable;Clickup;Jira;Markdown File;Notion	Jira;Markdown File;Notion	Discord;Telegram;Zoom	Discord;Telegram;Zoom	ChatGPT	Google Bard AI			Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Neutral	AI could help to improve the readability of Question or Answer. becase most of the time autho of answer used hard sentence so it become difficult to understand.	No, and I don't plan to												Yes	People manager	3.0	Agree	Agree	Agree	Agree	Agree	Disagree	Strongly agree	Neither agree nor disagree	1-2 times a week	3-5 times a week	Never	60-120 minutes a day	15-30 minutes a day	None of these	Information Services, IT, Software Development, or other Technology	Appropriate in length	Neither easy nor difficult	
14905	I agree	I am a developer by profession	25-34 years old	Employed, full-time	Hybrid (some remote, some in-person)	Hobby;Contribute to open-source projects;Bootstrapping a business	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Hackathons (virtual or in-person);Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow	Codecademy;edX;Udemy	8	3	Developer, back-end	10 to 19 employees	I have some influence	Investigate	Start a free trial;Visit developer communities like Stack Overflow	Bangladesh	"BDT	Bangladeshi taka"		JavaScript;Python;Solidity;TypeScript	Python;Rust;Solidity;TypeScript	Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite	Dynamodb;Elasticsearch;PostgreSQL;Redis	Amazon Web Services (AWS);Firebase;Heroku;Vercel	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Vercel	Django;Express;Gatsby;Next.js;Node.js;React	Django;Express;Next.js;Node.js	Flutter;React Native	Apache Kafka;RabbitMQ	Docker;GNU GCC;Homebrew;npm;Pip;pnpm;Unity 3D;Unreal Engine;Visual Studio Solution;Webpack;Yarn	Docker;GNU GCC;Homebrew;Kubernetes;Pip;pnpm;Yarn	Sublime Text;Vim;Visual Studio Code;Xcode	Vim;Visual Studio Code	MacOS	MacOS	Confluence;GitHub Discussions;Jira;Notion;Trello	GitHub Discussions;Notion	Discord;Google Meet;Microsoft Teams;Slack;Telegram	Google Meet;Slack	ChatGPT	ChatGPT	GitHub Copilot	GitHub Copilot	Stack Overflow;Stack Exchange	Multiple times per day	Yes	Less than once per month or monthly	Yes, somewhat	I believe Yes	Yes	Favorable	Increase productivity;Greater efficiency;Speed up learning	Neither trust nor distrust	Debugging and getting help;Testing code;Collaborating with teammates 	Learning about a codebase;Project planning;Writing code;Documenting code	Committing and reviewing code;Deployment and monitoring	Learning about a codebase;Project planning;Documenting code				Writing code	Yes	Individual contributor	3.0	Agree	Agree	Neither agree nor disagree	Agree	Agree	Strongly agree	Strongly agree	Disagree	Never	1-2 times a week	1-2 times a week	30-60 minutes a day	15-30 minutes a day	DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery	Information Services, IT, Software Development, or other Technology	Too long	Neither easy nor difficult	
15312	I agree	I am a developer by profession	25-34 years old	Employed, full-time	In-person	I don’t code outside of work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;How-to videos;Written Tutorials;Stack Overflow		7	4	Developer, back-end	5,000 to 9,999 employees	I have little or no influence		Start a free trial	Bangladesh	"BDT	Bangladeshi taka"		C;C#;C++;Java;JavaScript;PHP;SQL	Python	MySQL;Oracle	BigQuery;Firebase Realtime Database;MongoDB;MySQL;Oracle			ASP.NET;jQuery;WordPress	CodeIgniter;Django;Laravel;Spring Boot	.NET Framework (1.0 - 4.8)	Spring Framework;TensorFlow;Torch/PyTorch	Unity 3D	Composer	Android Studio;Code::Blocks;IntelliJ IDEA;Netbeans;Notepad++;Visual Studio	PhpStorm	Windows	Red Hat;Ubuntu	Jira	Jira	Google Meet;Skype;Whatsapp;Zoom	Google Meet;Skype;Whatsapp;Zoom	ChatGPT	ChatGPT;Google Bard AI			Stack Overflow;Stack Exchange	A few times per week	Yes	Less than once per month or monthly	Yes, somewhat	Compiling two or more answers of multiple questions to generate a perfect solution of a problem.	No, but I plan to soon	Favorable		Somewhat trust									Yes	Individual contributor	5.0	Neither agree nor disagree	Agree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Agree	Agree	1-2 times a week	Never	Never	30-60 minutes a day	Less than 15 minutes a day	None of these	Financial Services	Appropriate in length	Easy	
15520	I agree	I code primarily as a hobby	25-34 years old	Not employed, but looking for work			Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos	Codecademy;Udemy;Pluralsight;Coursera;Udacity	6		Developer, front-end			Given a list	Start a free trial;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd	Bangladesh			JavaScript;Python	JavaScript;Rust;TypeScript			Firebase;Netlify;Render;Vercel	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Netlify;Render;Vercel	jQuery;React	Deno;Express;Gatsby;NestJS;Next.js;Node.js;React;Remix;Solid.js;Svelte;Vue.js			npm;Vite;Webpack;Yarn	Bun;npm;pnpm;Vite;Webpack;Yarn	Sublime Text;Visual Studio;Visual Studio Code;VSCodium;WebStorm	Sublime Text;Visual Studio;Visual Studio Code;VSCodium;WebStorm	Windows	Windows;Windows Subsystem for Linux (WSL)	Notion	Asana;GitHub Discussions;Notion	Discord;Google Chat;Google Meet;Slack;Telegram;Whatsapp;Zoom	Discord;Google Chat;Google Meet;Microsoft Teams;Slack;Telegram;Whatsapp;Zoom	Bing AI;ChatGPT;Google Bard AI;Perplexity AI;WolframAlpha;You.com	Bing AI;ChatGPT;Google Bard AI;Perplexity AI;WolframAlpha;You.com	AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine	AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine	Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Collectives on Stack Overflow	A few times per week	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	AI-Generated accurate answer	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration	Somewhat trust	Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates 	Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code		Learning about a codebase;Project planning;Writing code;Documenting code;Debugging and getting help;Testing code																							Appropriate in length	Easy	
15867	I agree	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Bootstrapping a business;Professional development or self-paced learning from online courses	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Stack Overflow;Interactive tutorial;Certification videos	Other	14	8	Project manager	100 to 499 employees	I have a great deal of influence	Investigate	Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd	Bangladesh	"BDT	Bangladeshi taka"		HTML/CSS;Java;JavaScript;Python;SQL	HTML/CSS;Java;JavaScript;Python;Rust;SQL	PostgreSQL	PostgreSQL	Amazon Web Services (AWS);Managed Hosting	Amazon Web Services (AWS)	React;Spring Boot	React;Spring Boot;Vue.js	Apache Kafka;RabbitMQ;Spring Framework	RabbitMQ;React Native;Spring Framework	Gradle;Maven (build tool)	Gradle;Maven (build tool)	Atom;Eclipse;IntelliJ IDEA;Vim	Atom;Eclipse;Vim	Android;iOS;Windows	Other Linux-based;Windows;Windows Subsystem for Linux (WSL)	Jira		Microsoft Teams;Skype;Whatsapp;Zoom	Microsoft Teams;Skype;Whatsapp					Stack Overflow;Stack Exchange	A few times per week	Yes	Less than once per month or monthly	Yes, somewhat		Yes	Favorable	Increase productivity;Speed up learning;Improve accuracy in coding	Neither trust nor distrust	Writing code	Writing code				Writing code			Yes	People manager	8.0	Agree	Strongly disagree	Agree	Strongly agree	Agree	Neither agree nor disagree	Disagree	Agree	Never	1-2 times a week	Never	30-60 minutes a day	30-60 minutes a day	DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery	Information Services, IT, Software Development, or other Technology	Too long	Difficult	
15876	I agree	I am a developer by profession	25-34 years old	Employed, full-time;Independent contractor, freelancer, or self-employed	Hybrid (some remote, some in-person)	Hobby;Contribute to open-source projects;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Books / Physical media;Colleague;Friend or family member;Hackathons (virtual or in-person);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos	Udemy;Pluralsight;Coursera;Udacity	7	3	Developer, back-end	2 to 9 employees	I have little or no influence		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow	Bangladesh	"BDT	Bangladeshi taka"	360000.0	Assembly;C;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL	C;C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL	MariaDB;Microsoft Access;MySQL;Oracle;SQLite	MariaDB;Microsoft Access;MySQL	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Netlify;VMware	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase	Laravel;Node.js;Vue.js;WordPress	Laravel;Node.js;Vue.js;WordPress	Hadoop;NumPy;Opencv;OpenGL;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch	NumPy;Opencv;OpenGL;Pandas	Composer;Docker;GNU GCC;npm;Pip;Vite;Webpack	Composer;GNU GCC;npm;Pip;Vite;Webpack	Android Studio;Atom;CLion;Code::Blocks;DataGrip;Eclipse;Fleet;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Netbeans;Notepad++;PhpStorm;PyCharm;Spyder;Sublime Text;Vim;Visual Studio;Visual Studio Code;WebStorm	Android Studio;Atom;Fleet;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Notepad++;PhpStorm;PyCharm;Spyder;Visual Studio Code	Android;Arch;Debian;Fedora;iOS;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Android;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Jira;Markdown File;Microsoft Lists;Microsoft Planner;Shortcut	Markdown File;Shortcut	Discord;Google Chat;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom	Google Chat;Google Meet;Microsoft Teams;Skype;Telegram;Whatsapp;Zoom	ChatGPT	ChatGPT	Tabnine	GitHub Copilot	Stack Overflow;Stack Exchange	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Yes, somewhat	its good	Yes	Very favorable	Increase productivity;Greater efficiency;Speed up learning;Improve accuracy in coding;Improve collaboration	Highly trust	Learning about a codebase;Project planning;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates 	Writing code;Documenting code;Debugging and getting help		Writing code;Documenting code;Debugging and getting help					Yes	People manager	3.0	Strongly agree	Strongly disagree	Strongly disagree	Neither agree nor disagree	Agree	Agree	Agree	Neither agree nor disagree	1-2 times a week	1-2 times a week	1-2 times a week	Over 120 minutes a day	Over 120 minutes a day	None of these		Appropriate in length	Neither easy nor difficult	3347.0
16923	I agree	I am a developer by profession	25-34 years old	Employed, full-time;Employed, part-time	Hybrid (some remote, some in-person)	Hobby	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)	Formal documentation provided by the owner of the tech;Written Tutorials;Stack Overflow		15	9	Developer, full-stack	10 to 19 employees	I have a great deal of influence	Investigate	Start a free trial;Ask developers I know/work with	Bangladesh	"BDT	Bangladeshi taka"	3070240.0	HTML/CSS;Java;JavaScript;Python;SQL;TypeScript	HTML/CSS;Java;JavaScript;Python;SQL;TypeScript	H2;MySQL;SQLite	H2;MySQL;SQLite	Amazon Web Services (AWS)	Amazon Web Services (AWS)	Angular;Express;Flask;Node.js;React;Spring Boot	Angular;Express;Flask;Node.js;React;Spring Boot	Spring Framework	Spring Framework	Docker;Maven (build tool);npm	Docker;Maven (build tool);npm	IntelliJ IDEA;Sublime Text;Visual Studio Code	IntelliJ IDEA;Sublime Text;Visual Studio Code	Other Linux-based;Ubuntu	Other Linux-based;Ubuntu			Skype;Wire	Skype;Wire					Stack Overflow;Stack Exchange	Multiple times per day	Yes	A few times per month or weekly	Yes, somewhat	improve question title, improve answer's readbility, improve, optimze solutions	No, and I don't plan to												No																		Too long	Easy	28544.0
17032	I agree	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Hobby;Professional development or self-paced learning from online courses;Freelance/contract work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)	Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Click to write Choice 20;Stack Overflow;Interactive tutorial;Certification videos	Codecademy;Udemy;Pluralsight;Coursera;Udacity	15	11	Developer, desktop or enterprise applications	1,000 to 4,999 employees	I have some influence	Investigate	Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd;Ask a generative AI tool	Bangladesh	"BDT	Bangladeshi taka"		C;C#;C++;Crystal;HTML/CSS;Java;JavaScript;MATLAB;Perl;PHP;SQL;TypeScript;Visual Basic (.Net)	C#;Elixir;Go;HTML/CSS;JavaScript;Python;R;SQL;Swift;TypeScript	MariaDB;Microsoft Access;Microsoft SQL Server;MySQL;Oracle	BigQuery;Cassandra;Cosmos DB;Dynamodb;Elasticsearch;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite	Heroku;Managed Hosting;Microsoft Azure;Netlify;VMware	Amazon Web Services (AWS);Cloudflare;Digital Ocean;Firebase;Google Cloud;Heroku;Managed Hosting;Microsoft Azure;Netlify;VMware	Angular;AngularJS;ASP.NET;ASP.NET CORE;CodeIgniter;jQuery;WordPress	AngularJS;ASP.NET;ASP.NET CORE;Blazor;Django;Express;FastAPI;jQuery;React;Svelte;Vue.js;WordPress	.NET (5+) ;.NET Framework (1.0 - 4.8)	.NET (5+) ;.NET MAUI;Apache Kafka;Apache Spark;Electron;Flutter;RabbitMQ;React Native;TensorFlow;Torch/PyTorch;Xamarin	npm;NuGet;Visual Studio Solution;Yarn	Ansible;Composer;Dagger;Docker;Homebrew;Kubernetes;npm;NuGet;Pip;Unity 3D;Unreal Engine;Visual Studio Solution;Yarn	Atom;Code::Blocks;DataGrip;IntelliJ IDEA;Netbeans;Notepad++;PhpStorm;PyCharm;Sublime Text;Visual Studio;Visual Studio Code	Android Studio;Visual Studio;Visual Studio Code	Android;Arch;Ubuntu;Windows;Windows Subsystem for Linux (WSL)	Windows;Windows Subsystem for Linux (WSL)	Asana;Azure Devops;Clickup;Trello;Wikis	Asana;Azure Devops;Clickup;Jira;Redmine;Trello;Wikis	Cisco Webex Teams;Discord;Google Chat;Google Meet;Microsoft Teams;Signal;Skype;Slack;Telegram;Whatsapp;Zoom	Cisco Webex Teams;Discord;Google Chat;Google Meet;Microsoft Teams;Signal;Skype;Telegram;Whatsapp;Zoom	ChatGPT	Bing AI;ChatGPT;Google Bard AI			Stack Overflow	Multiple times per day	Yes	Less than once per month or monthly	Yes, definitely	Off course, AI tools increase the problem searching ability regarding current experience. AI helps with prompt searching as well as code search.	No, but I plan to soon	Very favorable		Neither trust nor distrust									Yes	Individual contributor	11.0	Agree	Agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	1-2 times a week	3-5 times a week	6-10 times a week	30-60 minutes a day	60-120 minutes a day	None of these	Information Services, IT, Software Development, or other Technology	Too long	Neither easy nor difficult	
17138	I agree	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Professional development or self-paced learning from online courses	Master’s degree (M.A., M.S., M.Eng., MBA, etc.)	Online Courses or Certification		Other;Udemy	5	2	Developer, front-end	100 to 499 employees	I have little or no influence		Ask developers I know/work with;Visit developer communities like Stack Overflow	Bangladesh	"BDT	Bangladeshi taka"	350000.0	JavaScript;TypeScript	JavaScript;TypeScript			Netlify	Netlify	Next.js;React	Next.js;React			Yarn	Yarn	Visual Studio Code	Visual Studio Code	Windows	Windows			Google Meet;Slack;Whatsapp	Whatsapp	ChatGPT	Bing AI;ChatGPT			Stack Overflow;Stack Exchange	Multiple times per day	Yes	I have never participated in Q&A on Stack Overflow	Neutral		Yes	Indifferent	Improve accuracy in coding	Somewhat trust	Learning about a codebase;Project planning;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code		Writing code;Deployment and monitoring;Collaborating with teammates 						Yes	Individual contributor	2.0	Strongly disagree								3-5 times a week	3-5 times a week		60-120 minutes a day	15-30 minutes a day	DevOps function;Innersource initiative		Too long	Difficult	3254.0
17254	I agree	I am a developer by profession	18-24 years old	Employed, full-time	Hybrid (some remote, some in-person)	Hobby;Freelance/contract work	Bachelor’s degree (B.A., B.S., B.Eng., etc.)	Books / Physical media;Hackathons (virtual or in-person);Online Courses or Certification;Coding Bootcamp		Udemy;Coursera	6	2	Developer, full-stack	20 to 99 employees	I have some influence	Investigate	Ask developers I know/work with;Visit developer communities like Stack Overflow	Bangladesh	"BDT	Bangladeshi taka"	800000.0	C;C++;Dart;Java;JavaScript;SQL;TypeScript	Go;Kotlin	Firebase Realtime Database;MongoDB;MySQL;Oracle;PostgreSQL	Redis	Amazon Web Services (AWS);Firebase;Heroku;Microsoft Azure	Google Cloud	Angular;Express;React;Spring Boot	FastAPI;NestJS;Next.js	Flutter;Spring Framework	Apache Kafka	Maven (build tool);npm;Yarn		Android Studio;IntelliJ IDEA;WebStorm		Ubuntu		Trello		Google Meet;Skype	Slack			GitHub Copilot		Stack Overflow;Stack Exchange;Collectives on Stack Overflow	Daily or almost daily	Yes	Less than once per month or monthly	Neutral		Yes	Unfavorable	Improve collaboration	Neither trust nor distrust	Learning about a codebase;Writing code;Committing and reviewing code;Deployment and monitoring	Documenting code;Testing code		Documenting code;Testing code					Yes	Individual contributor	2.0	Agree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Disagree	Neither agree nor disagree	Never	Never		15-30 minutes a day	Less than 15 minutes a day	Automated testing	Information Services, IT, Software Development, or other Technology	Too long	Neither easy nor difficult	7438.0
17350	I agree	I am a developer by profession	25-34 years old	Employed, full-time	In-person	Freelance/contract work	Some college/university study without earning a degree	Colleague;On the job training;Other online resources (e.g., videos, blogs, forum)	Formal documentation provided by the owner of the tech;How-to videos;Written Tutorials;Stack Overflow		9	9	Developer, full-stack	20 to 99 employees	I have little or no influence		Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd	Bangladesh	"BDT	Bangladeshi taka"	732.0	PHP;SQL	Go;Python	MariaDB;MySQL;Oracle;PostgreSQL;Redis	Cassandra;Dynamodb;MongoDB;Redis	Digital Ocean	Amazon Web Services (AWS)	CodeIgniter;jQuery;Laravel;Symfony	Django;Express;FastAPI;Next.js;Node.js;React;Symfony;WordPress			Composer;Docker;npm	Composer;Docker;npm	Visual Studio Code	Android Studio;PyCharm;Visual Studio Code	Ubuntu	Android;ChromeOS;Ubuntu	Jira	Jira	Google Meet;Microsoft Teams;Whatsapp;Zoom		ChatGPT	ChatGPT;Google Bard AI			Stack Overflow;Stack Exchange;Collectives on Stack Overflow	Multiple times per day	Yes	Less than once per month or monthly	Yes, definitely	Y	No, but I plan to soon	Favorable		Somewhat trust									Yes	Individual contributor	9.0	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	1-2 times a week	1-2 times a week	1-2 times a week	15-30 minutes a day	15-30 minutes a day	None of these	Information Services, IT, Software Development, or other Technology	Too long	Neither easy nor difficult	7.0
17413	I agree	I code primarily as a hobby	18-24 years old	Employed, part-time	Remote	Hobby	Some college/university study without earning a degree	Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)	Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow;Programming Games	Codecademy	3		Developer, full-stack			Given a list	Start a free trial	Bangladesh			C;HTML/CSS;Java;JavaScript;PHP;Python;Solidity;SQL	Python;Solidity;SQL	Cosmos DB;MySQL;SQLite	MySQL	Amazon Web Services (AWS)		ASP.NET;jQuery		.NET (5+) 		APT		IPython;Visual Studio Code		Windows	Windows			Discord;Google Chat;Zoom	Discord;Google Chat	ChatGPT;Metaphor	Metaphor	GitHub Copilot		Stack Overflow	Daily or almost daily	Yes	I have never participated in Q&A on Stack Overflow	Yes, definitely		Yes	Favorable	Greater efficiency	Somewhat trust		Learning about a codebase						Learning about a codebase																			Appropriate in length		
